iter	RMSE
0	6.462951648
1	6.424419094
2	6.394054335
3	6.370301362
4	6.340959193
5	6.318749616
6	6.292418306
7	6.247456219
8	6.219792237
9	6.201815739
10	6.184800792
11	6.154222913
12	6.139951125
13	6.101287416
14	6.058800469
15	6.048913579
16	6.027236265
17	6.014989865
18	5.997307733
19	5.981447742
20	5.935415105
21	5.907870766
22	5.896602445
23	5.860043886
24	5.846772668
25	5.833859597
26	5.799987683
27	5.769743929
28	5.759948214
29	5.747264952
30	5.726815368
31	5.704966179
32	5.689207824
33	5.676462786
34	5.667462622
35	5.655058076
36	5.642535758
37	5.629316212
38	5.616382258
39	5.594060872
40	5.574394921
41	5.5652167
42	5.547781159
43	5.539131521
44	5.535359755
45	5.52510726
46	5.510606388
47	5.501173783
48	5.494175413
49	5.477797202
50	5.460349465
51	5.448789304
52	5.44422758
53	5.427738137
54	5.420822451
55	5.414181409
56	5.403788072
57	5.382725272
58	5.3676007
59	5.345516806
60	5.335597129
61	5.330820715
62	5.32455966
63	5.31194284
64	5.305661238
65	5.291539711
66	5.286426941
67	5.269727043
68	5.257282314
69	5.251571252
70	5.239434275
71	5.229858806
72	5.222223536
73	5.212431599
74	5.201064611
75	5.192037666
76	5.177399547
77	5.167274699
78	5.161149762
79	5.154703334
80	5.147295469
81	5.143049223
82	5.138840439
83	5.130046688
84	5.117138942
85	5.101113415
86	5.088853674
87	5.079213951
88	5.071457852
89	5.061696222
90	5.052464884
91	5.044085652
92	5.040540935
93	5.035647344
94	5.023600866
95	5.017697241
96	5.00955015
97	5.003671361
98	4.999731202
99	4.992908398
100	4.979211599
101	4.971010237
102	4.963474693
103	4.958227102
104	4.948952843
105	4.946098974
106	4.939719989
107	4.926729248
108	4.920472987
109	4.915475039
110	4.906405821
111	4.90171583
112	4.898570574
113	4.892806024
114	4.889889869
115	4.886273473
116	4.882404951
117	4.878106031
118	4.870504447
119	4.864362872
120	4.860929162
121	4.857753489
122	4.850581356
123	4.850295739
124	4.839154478
125	4.834888978
126	4.825144635
127	4.821986541
128	4.81843927
129	4.812534846
130	4.808610974
131	4.805805858
132	4.803021916
133	4.800525833
134	4.792239285
135	4.781799405
136	4.776370071
137	4.772996046
138	4.766263872
139	4.762315828
140	4.761212903
141	4.756902669
142	4.7521056
143	4.746156108
144	4.742675627
145	4.735991961
146	4.73133194
147	4.721928261
148	4.718094129
149	4.710668057
150	4.707518554
151	4.702861551
152	4.696641478
153	4.69391631
154	4.684475977
155	4.677888983
156	4.672749523
157	4.668491572
158	4.663924536
159	4.660615579
160	4.655898795
161	4.650122732
162	4.647603908
163	4.642792201
164	4.640677727
165	4.636836313
166	4.632708229
167	4.627544419
168	4.62509306
169	4.62254505
170	4.61909095
171	4.611604318
172	4.608623075
173	4.606171595
174	4.59876667
175	4.595659885
176	4.590887796
177	4.587334898
178	4.583080146
179	4.581306191
180	4.574256937
181	4.571787344
182	4.57108561
183	4.568144529
184	4.564742403
185	4.558295583
186	4.552897286
187	4.548281432
188	4.539731628
189	4.535230845
190	4.528580653
191	4.525702319
192	4.514204259
193	4.511057961
194	4.509106323
195	4.503458303
196	4.498545473
197	4.491480294
198	4.489130205
199	4.486860846
200	4.479418641
201	4.473371646
202	4.464969344
203	4.460085142
204	4.457568003
205	4.454591965
206	4.451374348
207	4.448612739
208	4.443665189
209	4.440029095
210	4.431084448
211	4.422324114
212	4.419196872
213	4.41538499
214	4.411912747
215	4.408575102
216	4.40663026
217	4.402469527
218	4.400017703
219	4.398385718
220	4.391454827
221	4.389259134
222	4.384985618
223	4.381942264
224	4.379006868
225	4.376661009
226	4.374071796
227	4.372337363
228	4.368821895
229	4.361044716
230	4.358050698
231	4.355397105
232	4.349516308
233	4.343443949
234	4.342443792
235	4.340674992
236	4.338280499
237	4.333334423
238	4.330400716
239	4.326782747
240	4.322540287
241	4.319165533
242	4.316923174
243	4.312179812
244	4.308185994
245	4.303135873
246	4.301641335
247	4.299190088
248	4.296580687
249	4.293448099
250	4.292025246
251	4.28856014
252	4.283351475
253	4.282178355
254	4.27776241
255	4.273644101
256	4.270678333
257	4.269577785
258	4.267249272
259	4.262266627
260	4.256976097
261	4.255575839
262	4.253708092
263	4.251398414
264	4.24801548
265	4.245424738
266	4.24430901
267	4.241717606
268	4.237085619
269	4.235459607
270	4.229363261
271	4.226368114
272	4.224820847
273	4.22053927
274	4.218333751
275	4.21399669
276	4.209493023
277	4.206309039
278	4.203927282
279	4.199015059
280	4.19664851
281	4.195005301
282	4.193459008
283	4.192847011
284	4.190656035
285	4.185581962
286	4.182764865
287	4.180647688
288	4.177999034
289	4.175190736
290	4.174011567
291	4.17204041
292	4.169219673
293	4.166396196
294	4.164260945
295	4.159231953
296	4.157658959
297	4.156752796
298	4.155051086
299	4.152921927
300	4.151394924
301	4.14962144
302	4.148870506
303	4.148019252
304	4.144941098
305	4.143100672
306	4.137351321
307	4.129475876
308	4.128062846
309	4.127445241
310	4.126545996
311	4.124281742
312	4.123419727
313	4.11661769
314	4.113150061
315	4.112007699
316	4.107799191
317	4.105294132
318	4.103261952
319	4.102757515
320	4.099753286
321	4.09838736
322	4.097028689
323	4.093858029
324	4.08987062
325	4.086987383
326	4.081862982
327	4.07632467
328	4.075671026
329	4.074753118
330	4.070101864
331	4.06656024
332	4.065278365
333	4.061976182
334	4.06066359
335	4.057282992
336	4.054265762
337	4.053436286
338	4.050737242
339	4.042617866
340	4.036632637
341	4.034691476
342	4.032617796
343	4.030336236
344	4.026408892
345	4.0243257
346	4.022715951
347	4.021840716
348	4.017677106
349	4.01618556
350	4.015722516
351	4.013919513
352	4.012370673
353	4.011937175
354	4.004165799
355	4.003049581
356	3.99827172
357	3.996998822
358	3.995557355
359	3.993444446
360	3.992451083
361	3.99047768
362	3.983191099
363	3.980004355
364	3.974503349
365	3.974423187
366	3.972770043
367	3.971460446
368	3.965472386
369	3.963318875
370	3.961014155
371	3.960205808
372	3.959413411
373	3.953110356
374	3.951329084
375	3.950085039
376	3.942269635
377	3.938591835
378	3.93792974
379	3.933619146
380	3.932114745
381	3.927952018
382	3.927416659
383	3.926378333
384	3.925101362
385	3.924373835
386	3.916905085
387	3.911093457
388	3.908568324
389	3.906243291
390	3.906025684
391	3.905622886
392	3.901155965
393	3.899576017
394	3.896761685
395	3.893871605
396	3.892887996
397	3.888367886
398	3.886878307
399	3.885380282
400	3.88344233
401	3.882953334
402	3.877530665
403	3.874617029
404	3.869831853
405	3.864373287
406	3.860994459
407	3.859693025
408	3.854039866
409	3.846688419
410	3.845550806
411	3.841762444
412	3.838177385
413	3.836932531
414	3.834384436
415	3.829261664
416	3.824452263
417	3.819594845
418	3.817082492
419	3.816460688
420	3.81331623
421	3.812471045
422	3.810740277
423	3.809167712
424	3.802853272
425	3.798544474
426	3.792596514
427	3.791152963
428	3.787768808
429	3.785993738
430	3.785007237
431	3.781906622
432	3.780634704
433	3.776420488
434	3.772361798
435	3.769969312
436	3.767887475
437	3.763062764
438	3.759817584
439	3.756783173
440	3.753640809
441	3.750700036
442	3.747849821
443	3.744928711
444	3.741939306
445	3.739237229
446	3.734804497
447	3.734181134
448	3.7279754
449	3.725547852
450	3.724767032
451	3.721465352
452	3.716703219
453	3.714148258
454	3.711253363
455	3.710649148
456	3.709812757
457	3.708404737
458	3.704934936
459	3.701682713
460	3.698803143
461	3.698007196
462	3.69522229
463	3.689777482
464	3.686190168
465	3.685243913
466	3.683224302
467	3.680531957
468	3.680254503
469	3.677193431
470	3.672408261
471	3.670695755
472	3.67017999
473	3.66810583
474	3.664439099
475	3.662352278
476	3.656748776
477	3.654382368
478	3.653995542
479	3.64857731
480	3.646221091
481	3.645576138
482	3.642624083
483	3.642007389
484	3.641245028
485	3.638672301
486	3.636844887
487	3.63415487
488	3.630856776
489	3.628550112
490	3.626753227
491	3.621904162
492	3.620549918
493	3.619159083
494	3.618095899
495	3.616818241
496	3.613610968
497	3.612151438
498	3.611519999
499	3.605816108
500	3.604981594
501	3.604854174
502	3.601179506
503	3.598154129
504	3.596487807
505	3.594874991
506	3.591842165
507	3.59143804
508	3.589888145
509	3.587549041
510	3.583745966
511	3.58099177
512	3.579925302
513	3.57742592
514	3.574908101
515	3.574273785
516	3.570499813
517	3.567309846
518	3.56607395
519	3.566010744
520	3.560776077
521	3.559675314
522	3.556482467
523	3.55294129
524	3.547842596
525	3.546108508
526	3.544227156
527	3.539317397
528	3.538094915
529	3.535800442
530	3.53532962
531	3.533642513
532	3.531513848
533	3.530962872
534	3.529572981
535	3.527275031
536	3.525842143
537	3.524830236
538	3.523099006
539	3.519222279
540	3.518222327
541	3.516164437
542	3.514769799
543	3.511690255
544	3.509372992
545	3.505145987
546	3.502845584
547	3.502115995
548	3.499570908
549	3.498299552
550	3.495240709
551	3.491715697
552	3.490839689
553	3.49033173
554	3.489744029
555	3.489475485
556	3.487405392
557	3.485994246
558	3.483367048
559	3.480861436
560	3.479446759
561	3.477024085
562	3.475556109
563	3.475039589
564	3.474548114
565	3.47408189
566	3.472158025
567	3.470097852
568	3.465618571
569	3.46274776
570	3.461835806
571	3.45742499
572	3.450977678
573	3.449992793
574	3.448226398
575	3.44493544
576	3.44323894
577	3.440533467
578	3.43989655
579	3.438276383
580	3.436115031
581	3.434453749
582	3.43300108
583	3.432611031
584	3.430261575
585	3.427669902
586	3.424871084
587	3.420355549
588	3.418086432
589	3.417383346
590	3.41608972
591	3.414243771
592	3.41072138
593	3.407201471
594	3.406760817
595	3.404675703
596	3.40009529
597	3.395865132
598	3.394323323
599	3.390162538
600	3.386035709
601	3.385478785
602	3.384459507
603	3.381283694
604	3.380752222
605	3.37831278
606	3.376858214
607	3.376078536
608	3.375030424
609	3.372544758
610	3.371222497
611	3.370166318
612	3.369630051
613	3.364383104
614	3.363963325
615	3.359543423
616	3.356365614
617	3.355988175
618	3.355070482
619	3.352280518
620	3.349593943
621	3.347779283
622	3.346286179
623	3.344784036
624	3.343206445
625	3.341789099
626	3.340036959
627	3.338551344
628	3.337373484
629	3.335482217
630	3.334499772
631	3.332034192
632	3.330997421
633	3.330349191
634	3.329501898
635	3.329226079
636	3.326695811
637	3.325731691
638	3.324068319
639	3.3223989
640	3.321120219
641	3.319213687
642	3.316717859
643	3.313240967
644	3.312914096
645	3.311367338
646	3.311058637
647	3.309690119
648	3.30744174
649	3.305097783
650	3.304614215
651	3.302462458
652	3.300082569
653	3.298551157
654	3.297571987
655	3.295846972
656	3.292489526
657	3.290614299
658	3.288807428
659	3.286460955
660	3.285077662
661	3.284453022
662	3.28412803
663	3.282492214
664	3.281688029
665	3.280019676
666	3.278828791
667	3.277109769
668	3.274604123
669	3.271904913
670	3.269685104
