iter	Passed	Remaining
0	1	1886
1	3	1793
2	5	1766
3	6	1738
4	9	1921
5	11	1957
6	14	2007
7	15	1967
8	17	1920
9	19	1886
10	20	1866
11	22	1850
12	25	1919
13	27	1922
14	29	1919
15	30	1904
16	32	1883
17	33	1842
18	35	1824
19	36	1809
20	39	1833
21	41	1845
22	43	1859
23	45	1857
24	47	1845
25	49	1836
26	50	1827
27	52	1827
28	55	1854
29	57	1858
30	59	1853
31	61	1845
32	62	1836
33	64	1826
34	65	1817
35	66	1783
36	68	1775
37	70	1788
38	72	1788
39	74	1787
40	76	1784
41	77	1777
42	79	1771
43	81	1764
44	82	1743
45	83	1734
46	85	1741
47	87	1744
48	90	1747
49	91	1747
50	93	1745
51	95	1738
52	96	1732
53	98	1725
54	100	1720
55	102	1732
56	104	1731
57	106	1729
58	108	1725
59	109	1718
60	111	1712
61	112	1705
62	114	1698
63	115	1694
64	118	1706
65	120	1704
66	122	1702
67	123	1697
68	125	1691
69	127	1689
70	129	1690
71	130	1688
72	134	1704
73	136	1708
74	138	1708
75	140	1705
76	141	1702
77	143	1697
78	145	1692
79	146	1688
80	149	1694
81	151	1692
82	152	1690
83	154	1685
84	156	1680
85	157	1675
86	159	1670
87	160	1665
88	162	1660
89	165	1669
90	166	1667
91	168	1665
92	170	1661
93	171	1657
94	173	1652
95	174	1647
96	176	1643
97	178	1644
98	180	1644
99	182	1645
100	184	1644
101	187	1648
102	189	1647
103	190	1642
104	192	1638
105	193	1633
106	196	1636
107	197	1634
108	199	1632
109	201	1629
110	203	1627
111	206	1634
112	207	1628
113	210	1636
114	213	1644
115	217	1655
116	219	1654
117	221	1653
118	223	1651
119	225	1654
120	227	1653
121	229	1651
122	231	1649
123	231	1637
124	233	1634
125	235	1631
126	237	1629
127	239	1630
128	242	1637
129	244	1635
130	246	1632
131	247	1629
132	249	1626
133	251	1622
134	253	1624
135	256	1632
136	259	1636
137	263	1643
138	265	1641
139	267	1641
140	268	1634
141	272	1649
142	275	1649
143	277	1650
144	279	1646
145	280	1643
146	282	1639
147	284	1635
148	287	1639
149	289	1638
150	290	1634
151	292	1633
152	294	1630
153	296	1626
154	297	1622
155	299	1618
156	300	1615
157	304	1622
158	306	1620
159	308	1617
160	309	1613
161	311	1611
162	313	1608
163	314	1604
164	316	1603
165	319	1604
166	321	1602
167	323	1601
168	325	1598
169	326	1592
170	327	1588
171	329	1584
172	330	1580
173	333	1585
174	336	1585
175	338	1583
176	340	1581
177	341	1577
178	343	1574
179	344	1570
180	346	1566
181	349	1571
182	350	1564
183	351	1560
184	353	1556
185	354	1553
186	356	1549
187	358	1546
188	359	1543
189	361	1539
190	363	1541
191	366	1542
192	369	1545
193	371	1545
194	374	1546
195	376	1544
196	380	1552
197	382	1550
198	384	1546
199	385	1543
200	387	1539
201	388	1536
202	390	1532
203	391	1529
204	394	1527
205	396	1528
206	398	1526
207	400	1524
208	402	1522
209	403	1519
210	405	1516
211	407	1514
212	410	1515
213	412	1516
214	415	1515
215	417	1514
216	419	1511
217	420	1508
218	422	1505
219	424	1504
220	427	1505
221	429	1503
222	430	1500
223	432	1497
224	433	1494
225	435	1490
226	436	1487
227	438	1484
228	440	1484
229	442	1481
230	444	1478
231	445	1475
232	447	1471
233	448	1468
