Rating,Size,Industry,Sector,Ownership,Revenue,min_salary,max_salary,avg_salary,age,python,spark,aws,excel,LLMs,sql,Job_simp,seniority
4.0,1001 - 5000 Employees,Enterprise Software & Network Solutions,Finance,Company - Private,10000+ million ,4,10,7,18.0,1,1,0,1,0,1,data scientist,na
4.6,51 - 200 Employees,Enterprise Software & Network Solutions,Information Technology,Company - Private,10000+ million ,10,12,11,15.0,1,0,0,0,0,1,data scientist,na
4.0,1001 - 5000 Employees,Enterprise Software & Network Solutions,Management and consulting,Company - Private,10000+ million ,5,19,12,15.0,0,0,0,0,1,0,data scientist,na
4.0,1001 - 5000 Employees,Enterprise Software & Network Solutions,Finance,Company - Private,10000+ million ,20,30,25,15.0,1,0,0,0,0,0,data scientist,na
4.1,51 - 200 Employees,HR Consulting,Human resources and staffing,Private Practice / Firm,10000+ million ,3,9,6,26.0,0,0,0,0,0,0,data scientist,na
4.0,10000+ Employees,Information Technology Support Services,Finance,Company - Private,10000+ million ,4,30,17,26.0,0,0,0,0,0,0,data scientist,na
4.0,201 - 500 Employees,Information Technology Support Services,Management and consulting,Company - Private,10000+ million ,4,30,17,26.0,1,0,0,1,0,0,data scientist,na
4.0,1001 - 5000 Employees,Business consulting,Manufacturing,Company - Private,10000+ million ,2,10,6,26.0,1,0,0,0,0,0,data scientist,na
3.8,10000+ Employees,Enterprise Software & Network Solutions,Management and consulting,Company - Private,10000+ million ,4,30,17,26.0,0,0,0,0,0,0,data scientist,senior
3.7,201 - 500 Employees,Information Technology Support Services,Information Technology,Company - Private,10000+ million ,20,20,20,15.0,1,0,0,0,1,1,data scientist,na
4.0,201 - 500 Employees,Information Technology Support Services,Manufacturing,Company - Private,10000+ million ,3,3,3,15.0,1,0,0,0,0,0,data scientist,na
4.6,1 - 50 Employees,Information Technology Support Services,Information Technology,Company - Private,10000+ million ,30,35,32,10.0,0,0,0,0,1,0,data scientist,na
4.0,201 - 500 Employees,Information Technology Support Services,Management and consulting,Company - Private,10000+ million ,4,30,17,10.0,1,1,0,0,0,1,data scientist,na
4.0,1001 - 5000 Employees,Enterprise Software & Network Solutions,Manufacturing,Company - Private,10000+ million ,4,30,17,10.0,1,0,0,1,0,1,data scientist,na
4.3,10000+ Employees,Computer Hardware Development,Information Technology,Company - Public,10000+ million ,4,5,4,49.0,0,0,1,0,0,0,data scientist,na
4.0,1 - 50 Employees,Information Technology Support Services,Information Technology,Company - Public,10000+ million ,3,7,5,49.0,1,0,0,0,0,0,data scientist,na
4.2,10000+ Employees,Information Technology Support Services,Finance,Company - Private,10000+ million ,4,30,17,49.0,0,0,0,0,0,0,data scientist,na
4.0,1001 - 5000 Employees,Information Technology Support Services,Information Technology,Company - Private,10000+ million ,25,65,45,49.0,0,0,0,0,0,0,data scientist,na
4.0,1001 - 5000 Employees,Information Technology Support Services,Manufacturing,Company - Private,10000+ million ,2,10,6,49.0,0,0,0,0,0,0,data scientist,na
