iter	RMSE
0	6.537037161
1	6.511990334
2	6.48396542
3	6.452439448
4	6.411640573
5	6.390624661
6	6.369199837
7	6.346344648
8	6.313123564
9	6.287719377
10	6.255286229
11	6.222531148
12	6.19363671
13	6.14821583
14	6.129213359
15	6.092447606
16	6.05272127
17	6.039896849
18	6.013742405
19	5.991485484
20	5.948080726
21	5.93001805
22	5.903973573
23	5.887009085
24	5.866423427
25	5.852357838
26	5.840510733
27	5.827211417
28	5.79621656
29	5.774619584
30	5.760215135
31	5.734366956
32	5.703260393
33	5.686771053
34	5.660250129
35	5.638599717
36	5.61872185
37	5.600046347
38	5.589544809
39	5.565475878
40	5.54499514
41	5.535273622
42	5.523435891
43	5.504890083
44	5.491149728
45	5.481654522
46	5.471143735
47	5.459174284
48	5.446313287
49	5.430938933
50	5.413507112
51	5.401377857
52	5.381826659
53	5.375349822
54	5.363672131
55	5.361380254
56	5.344007971
57	5.336706378
58	5.328317303
59	5.320748071
60	5.304084261
61	5.293123725
62	5.27269921
63	5.26066859
64	5.253515723
65	5.233344992
66	5.224424051
67	5.214879103
68	5.208577443
69	5.20275369
70	5.200422118
71	5.193898076
72	5.186082709
73	5.182540779
74	5.177926444
75	5.16584551
76	5.158603439
77	5.147914847
78	5.136156437
79	5.128343671
80	5.122928887
81	5.11737578
82	5.110983557
83	5.103897226
84	5.092758017
85	5.088649146
86	5.083527171
87	5.07561092
88	5.069423666
89	5.064410616
90	5.059165757
91	5.050153702
92	5.0362207
93	5.029664613
94	5.023529926
95	5.020485096
96	5.01243855
97	5.004434564
98	4.993321777
99	4.984882155
100	4.974256022
101	4.969000916
102	4.96024387
103	4.952501788
104	4.948103965
105	4.945405596
106	4.940480122
107	4.936598323
108	4.93349733
109	4.930719104
110	4.92577773
111	4.924130027
112	4.918049706
113	4.911108803
114	4.908591594
115	4.901517202
116	4.893466566
117	4.885121377
118	4.881128326
119	4.877657346
120	4.875231783
121	4.865529327
122	4.859237492
123	4.849314891
124	4.843433229
125	4.838527563
126	4.832592073
127	4.827566227
128	4.818044256
129	4.814823531
130	4.812741153
131	4.807577053
132	4.802310966
133	4.801149833
134	4.789161636
135	4.783807459
136	4.780185833
137	4.776496341
138	4.769038727
139	4.76021851
140	4.750841416
141	4.740406862
142	4.735761987
143	4.724871443
144	4.722118002
145	4.714219435
146	4.709384944
147	4.706067045
148	4.701687014
149	4.695553029
150	4.685256361
151	4.679565229
152	4.675206895
153	4.670691046
154	4.658858046
155	4.656200983
156	4.653295072
157	4.644631711
158	4.638978491
159	4.63291237
160	4.626197741
161	4.616590674
162	4.606962887
163	4.600498563
164	4.59668852
165	4.594426549
166	4.585185791
167	4.580057084
168	4.576221176
169	4.569478776
170	4.560616528
171	4.557850079
172	4.554187103
173	4.551777635
174	4.549620656
175	4.543344704
176	4.53759909
177	4.532458477
178	4.527900633
179	4.522407071
180	4.51937838
181	4.515926837
182	4.510403702
183	4.505370864
184	4.502623752
185	4.499354906
186	4.498041877
187	4.493380459
188	4.489051496
189	4.482506583
190	4.478485292
191	4.474450727
192	4.47094941
193	4.466801711
194	4.463634653
195	4.455310803
196	4.449772524
197	4.443734715
198	4.439933578
199	4.431087008
200	4.42806671
201	4.423665753
202	4.421526913
203	4.417028732
204	4.410716331
205	4.406278928
206	4.404183957
207	4.400243999
208	4.397137262
209	4.393361083
210	4.384431057
211	4.380368385
212	4.373612026
213	4.370348464
214	4.367584337
215	4.363578651
216	4.355400118
217	4.348754773
218	4.345020336
219	4.34211547
220	4.334811904
221	4.33237978
222	4.329261447
223	4.327811968
224	4.322879899
225	4.320054149
226	4.315178945
227	4.307313448
228	4.303393354
229	4.299437358
230	4.294685457
231	4.289190996
232	4.284346399
233	4.279390257
234	4.2759155
235	4.271903827
236	4.269048597
237	4.262528593
238	4.258743767
239	4.256949629
240	4.251812682
241	4.249866371
242	4.245717154
243	4.244150577
244	4.237960516
245	4.232652716
246	4.228308301
247	4.22077413
248	4.214534892
249	4.209490632
250	4.207440682
251	4.204909506
252	4.201603166
253	4.196688909
254	4.19428281
255	4.191374145
256	4.187086274
257	4.185271873
258	4.183353079
259	4.179750949
260	4.176769846
261	4.173072063
262	4.170407299
263	4.167469982
264	4.162905374
265	4.159922252
266	4.157014714
267	4.155436745
268	4.152004277
269	4.14905682
270	4.137572872
271	4.126942347
272	4.124839143
273	4.123321609
274	4.122139033
275	4.115087555
276	4.108940572
277	4.104615398
278	4.095922602
279	4.085690061
280	4.081375285
281	4.079303889
282	4.074975268
283	4.068504885
284	4.0622531
285	4.059430701
286	4.056756962
287	4.047238048
288	4.044050233
289	4.039933554
290	4.03860898
291	4.035891854
292	4.031969479
293	4.02974072
294	4.025878641
295	4.018537474
296	4.015980746
297	4.011026982
298	4.008003021
299	4.000068702
300	3.997615098
301	3.992126019
302	3.988160283
303	3.985368547
304	3.979565557
305	3.976455349
306	3.975127254
307	3.971886575
308	3.967080503
309	3.962241139
310	3.959847102
311	3.955812829
312	3.951525689
313	3.948377166
314	3.947420142
315	3.944367993
316	3.940821721
317	3.936012307
318	3.931647499
319	3.929916575
320	3.926040057
321	3.922089765
322	3.918728949
323	3.913809594
324	3.908148636
325	3.901873687
326	3.900926896
327	3.899041587
328	3.891041065
329	3.886916047
330	3.883288071
331	3.880366947
332	3.879406074
333	3.872838238
334	3.87037797
335	3.869343097
336	3.867939664
337	3.864922589
338	3.862851185
339	3.860191932
340	3.858441271
341	3.852614245
342	3.84995239
343	3.846754193
344	3.843642005
345	3.841264735
346	3.837832836
347	3.833718881
348	3.828505082
349	3.823413281
350	3.820778254
351	3.815902557
352	3.814591047
353	3.803690891
354	3.800803428
355	3.795468799
356	3.793142056
357	3.790786984
358	3.787824997
359	3.779946327
360	3.77540708
361	3.773527052
362	3.772545091
363	3.770887573
364	3.767057573
365	3.763600804
366	3.758650672
367	3.755760028
368	3.751139091
369	3.750379263
370	3.741094604
371	3.732942735
372	3.724651424
373	3.719659543
374	3.712819585
375	3.706372834
376	3.698778285
377	3.694447553
378	3.69023073
379	3.688204812
380	3.685956375
381	3.682736056
382	3.680886944
383	3.673136155
384	3.671017521
385	3.664913879
386	3.660110788
387	3.655076963
388	3.647734927
389	3.645193567
390	3.640839127
391	3.633731367
392	3.626847534
393	3.624383453
394	3.621968999
395	3.61214375
396	3.609370377
397	3.60802646
398	3.602335332
399	3.598352684
400	3.596150834
401	3.592585389
402	3.591147558
403	3.586461043
404	3.58471675
405	3.580484222
406	3.57737075
407	3.569647422
408	3.566308297
409	3.565324979
410	3.564346777
411	3.56126887
412	3.556673003
413	3.554761625
414	3.552182247
415	3.548299042
416	3.544831713
417	3.542679707
418	3.542213633
419	3.539833529
420	3.53792217
421	3.535461109
422	3.533752921
423	3.531373039
424	3.527547608
425	3.523006253
426	3.522026065
427	3.518996767
428	3.515695024
429	3.514299395
430	3.513681734
431	3.511270434
432	3.509367349
433	3.507108558
434	3.503194087
435	3.500159906
436	3.496661268
437	3.494736732
438	3.490526431
439	3.486911676
440	3.484946429
441	3.481295116
442	3.479182419
443	3.475255965
444	3.468508554
445	3.467120496
446	3.461717664
447	3.458909284
448	3.457582381
449	3.453891879
450	3.451707068
451	3.44936225
452	3.447727772
453	3.44497665
454	3.439426934
455	3.432770964
456	3.430842367
457	3.428276487
458	3.4254545
459	3.420586671
460	3.418487316
461	3.417603661
462	3.412921466
463	3.407100279
464	3.404581371
465	3.403228629
466	3.400960155
467	3.394303269
468	3.392916094
469	3.389672635
470	3.385603345
471	3.378538949
472	3.374546763
473	3.371149306
474	3.36747145
475	3.363637079
476	3.360855035
477	3.359289596
478	3.357475312
479	3.352030619
480	3.351226336
481	3.347014325
482	3.344527266
483	3.342711799
484	3.342537591
485	3.338082613
486	3.333602601
487	3.331872856
488	3.329916215
489	3.32774863
490	3.323839818
491	3.32103713
492	3.317173217
493	3.315891522
494	3.313090222
495	3.306504577
496	3.305123226
497	3.303380475
498	3.299936095
499	3.294723509
500	3.292935942
501	3.290261341
502	3.287972246
503	3.286157327
504	3.279701156
505	3.27896141
506	3.277865369
507	3.273239466
508	3.271631003
509	3.266581721
510	3.26422202
511	3.260179946
512	3.256882261
513	3.255751622
514	3.250589587
515	3.249309607
516	3.245743323
517	3.240786941
518	3.239565614
519	3.236080088
520	3.234229503
521	3.233083655
522	3.231633604
523	3.231255244
524	3.229419171
525	3.228020608
526	3.223559847
527	3.217081918
528	3.212358297
529	3.21015178
530	3.204380234
531	3.20423009
532	3.200906823
533	3.197074889
534	3.195932853
535	3.194719145
536	3.193452646
537	3.192833759
538	3.185764772
539	3.182863281
540	3.177505925
541	3.176480843
542	3.173154027
543	3.168566171
544	3.166527789
545	3.165798219
546	3.164718938
547	3.162890188
548	3.160400152
549	3.160019644
550	3.158614031
551	3.153732573
552	3.150975607
553	3.148049851
554	3.144821332
555	3.13910735
556	3.137736652
557	3.136313534
558	3.134788093
559	3.132576408
560	3.125353209
561	3.124410987
562	3.123337778
563	3.121986604
564	3.117621354
565	3.116175371
566	3.115178479
567	3.11145362
568	3.10969959
569	3.109229113
570	3.106077152
571	3.105686604
572	3.103850743
573	3.103109225
574	3.099109168
575	3.098738149
576	3.096957995
577	3.09607138
578	3.09360035
579	3.08991406
580	3.084816077
581	3.078740752
582	3.077789384
583	3.076164558
584	3.072896712
585	3.068900618
586	3.062697802
587	3.061377574
588	3.058844127
589	3.056052559
590	3.052495716
591	3.050617592
592	3.049500039
593	3.044171115
594	3.039638191
595	3.037383026
596	3.031682294
597	3.029687229
598	3.029495808
599	3.027276135
600	3.025616099
601	3.025192948
602	3.023697491
603	3.020960636
604	3.016386974
605	3.016170225
606	3.012438146
607	3.012296425
608	3.009517624
609	3.005659643
610	2.999322208
611	2.998503239
612	2.997053396
613	2.996418985
614	2.989561124
615	2.987249071
616	2.986383793
617	2.983137748
618	2.979108875
619	2.977930579
620	2.977209809
621	2.97607118
622	2.974118918
623	2.97380367
624	2.971750551
625	2.967926555
626	2.967503216
627	2.96477035
628	2.960912731
629	2.95798406
630	2.956315846
631	2.953066563
632	2.947219539
633	2.94160452
634	2.938943665
635	2.934662092
636	2.932076581
637	2.931001076
638	2.925669298
639	2.924622209
640	2.922178519
641	2.920462656
642	2.919036044
643	2.916989992
644	2.915240455
645	2.912014458
646	2.911911593
647	2.910502489
648	2.908373155
649	2.904621989
650	2.90293591
651	2.902750575
652	2.897683474
653	2.897500085
654	2.896213208
655	2.891182424
656	2.8906341
657	2.889012716
658	2.887081145
659	2.885450098
660	2.88389755
661	2.881890553
662	2.877526503
663	2.877427903
664	2.87340987
665	2.870835064
666	2.869830362
667	2.864577098
668	2.858565062
669	2.856707798
670	2.855127316
671	2.852878781
672	2.850430246
673	2.848998315
674	2.847469505
675	2.846941244
676	2.846841898
677	2.846463081
678	2.845227156
679	2.843577568
680	2.842028401
681	2.838725125
682	2.837045401
683	2.834141488
684	2.833066756
685	2.832157952
686	2.829443125
687	2.827016447
688	2.824912739
689	2.82303284
690	2.822728273
691	2.821263083
692	2.818120504
693	2.815270704
694	2.813722646
695	2.812780414
696	2.811502871
697	2.808723831
698	2.80845306
699	2.802624759
700	2.799070157
701	2.797305862
702	2.795636177
703	2.795125378
704	2.79429116
705	2.791642316
706	2.790782104
707	2.789165114
708	2.78779729
709	2.785689167
710	2.783192114
711	2.781327344
712	2.78008671
713	2.779630576
714	2.776754323
715	2.776624526
716	2.774102201
717	2.773921892
718	2.770442656
719	2.767631262
720	2.765598809
721	2.762207817
722	2.761288145
723	2.760666707
724	2.760532144
725	2.75923705
726	2.757376435
727	2.754881573
728	2.754180507
729	2.751043117
730	2.750904085
731	2.750054541
732	2.748594789
733	2.746227975
734	2.743297964
735	2.739063872
736	2.735455908
737	2.730836741
738	2.730451108
739	2.727191757
740	2.725630732
741	2.724265534
742	2.722612495
743	2.720387392
744	2.716689149
745	2.715177722
746	2.713486403
747	2.711950761
748	2.70865482
749	2.707173775
750	2.705357479
751	2.703751685
752	2.70026461
753	2.697039536
754	2.694214086
755	2.691067776
756	2.688978686
757	2.687426038
758	2.686781429
759	2.686557886
760	2.686223137
761	2.681711856
762	2.679903208
763	2.678599977
764	2.676005408
765	2.674269796
766	2.673670171
767	2.672364242
768	2.670568232
769	2.670111705
770	2.670005331
771	2.668576394
772	2.66845683
773	2.6647698
774	2.662308642
775	2.66169284
776	2.659029123
777	2.657951597
778	2.655856998
779	2.652647705
780	2.650018842
781	2.649507347
782	2.645676782
783	2.643407553
784	2.641855319
785	2.640253468
786	2.639298717
787	2.635819718
788	2.632605491
789	2.632522259
790	2.629169757
791	2.62709128
792	2.626008943
793	2.624912155
794	2.620439261
795	2.618289264
796	2.618231149
797	2.615012188
798	2.61426534
799	2.613061576
800	2.611132032
801	2.607658184
802	2.604062019
803	2.602996004
804	2.602258971
805	2.600196592
806	2.599925869
807	2.598312204
808	2.598245579
809	2.595465761
810	2.594119103
811	2.591894064
812	2.590679442
813	2.589014919
814	2.587912864
815	2.58518011
816	2.584085571
817	2.583117831
818	2.58304443
819	2.582049623
820	2.581312567
821	2.580845226
822	2.57976083
823	2.576735512
824	2.575028728
825	2.573028074
826	2.572694668
827	2.570396827
828	2.567859173
829	2.5662115
830	2.563967787
831	2.563550651
832	2.562681657
833	2.561562648
834	2.559878935
835	2.557429402
836	2.556088645
837	2.555719854
838	2.554739641
839	2.552271963
840	2.550224152
841	2.55006566
842	2.547340951
843	2.546185924
844	2.544677636
845	2.543264875
846	2.540061783
847	2.53631928
848	2.533333039
849	2.531277088
850	2.529505466
851	2.5286371
852	2.526605379
853	2.525124972
854	2.523341361
855	2.522531902
856	2.522066759
857	2.518670973
858	2.516010926
859	2.515533568
860	2.515145104
861	2.514426514
862	2.514144911
863	2.513021209
864	2.51270532
865	2.510495411
866	2.508044968
867	2.507674605
868	2.505597923
869	2.503851092
870	2.503458094
871	2.502838696
872	2.498809382
873	2.497538323
874	2.497082178
875	2.494151246
876	2.493710553
877	2.49278888
878	2.490174923
879	2.489449906
880	2.485712467
881	2.485536854
882	2.482939162
883	2.479741975
884	2.47940415
885	2.479048872
886	2.47651459
887	2.475535266
888	2.472726222
889	2.472359099
890	2.469037233
891	2.46609632
892	2.465521803
893	2.463380623
894	2.461653145
895	2.460914876
896	2.459007357
897	2.457475714
898	2.45471216
899	2.452168167
900	2.451803022
901	2.450193845
902	2.448813514
903	2.447512497
904	2.446240049
905	2.443752011
906	2.443241234
907	2.441603249
908	2.438350446
909	2.437908775
910	2.434417176
911	2.433270748
912	2.432876513
913	2.431050604
914	2.428857869
915	2.426133287
916	2.425185197
917	2.423478997
918	2.42265644
919	2.421713529
920	2.421542898
921	2.419572573
922	2.41779931
923	2.416480272
924	2.414970998
925	2.41414353
926	2.412710771
927	2.411973464
928	2.408802739
929	2.407747856
930	2.40449441
931	2.401198003
932	2.399552101
933	2.397158642
934	2.394552218
935	2.391651588
936	2.390288901
937	2.389654879
938	2.38812175
939	2.383803728
940	2.38299523
941	2.380828784
942	2.379010103
943	2.377535947
944	2.375566764
945	2.375385913
946	2.370699323
947	2.36862441
948	2.367967529
949	2.36600048
950	2.365530119
951	2.364153198
952	2.361528574
953	2.35890518
954	2.357418623
955	2.35586594
956	2.355111866
957	2.352546764
958	2.350578302
959	2.350356778
960	2.348695958
961	2.347785341
962	2.347351111
963	2.344088588
964	2.342977415
965	2.339836364
966	2.337359644
967	2.33688857
968	2.334677801
969	2.332544543
970	2.329484388
971	2.327839482
972	2.326827061
973	2.324358693
974	2.320029535
975	2.317412685
976	2.316459787
977	2.313886193
978	2.312973442
979	2.312690558
980	2.311544125
981	2.309705066
982	2.308263289
983	2.307735582
984	2.30767794
985	2.306460169
986	2.304825203
987	2.303429691
988	2.301162017
989	2.300264978
990	2.299420881
991	2.2955312
992	2.293779935
993	2.2919542
994	2.290362518
995	2.287664882
996	2.28663432
997	2.285063747
998	2.28398942
999	2.283334892
