iter	Passed	Remaining
0	1	1839
1	3	1802
2	5	1750
3	7	1763
4	8	1754
5	10	1750
6	12	1754
7	14	1740
8	15	1732
9	17	1731
10	19	1727
11	22	1819
12	24	1866
13	26	1865
14	28	1858
15	30	1850
16	31	1843
17	33	1833
18	35	1828
19	37	1828
20	39	1820
21	40	1813
22	42	1820
23	44	1814
24	46	1807
25	48	1805
26	50	1802
27	52	1810
28	54	1816
29	56	1812
30	57	1806
31	59	1802
32	61	1799
33	63	1794
34	65	1798
35	67	1796
36	68	1791
37	70	1788
38	72	1783
39	74	1779
40	76	1778
41	77	1774
42	79	1770
43	81	1767
44	83	1763
45	84	1760
46	86	1756
47	88	1751
48	90	1749
49	91	1744
50	93	1740
51	95	1739
52	97	1742
53	99	1739
54	100	1734
55	101	1717
56	103	1714
57	105	1712
58	107	1708
59	108	1705
60	110	1703
61	112	1709
62	115	1711
63	116	1708
64	118	1704
65	120	1701
66	121	1698
67	123	1695
68	125	1692
69	127	1696
70	128	1682
71	130	1680
72	132	1677
73	133	1674
74	135	1672
75	137	1670
76	139	1668
77	141	1673
78	143	1674
79	145	1673
80	147	1668
81	147	1656
82	149	1656
83	151	1656
84	154	1659
85	156	1660
86	157	1657
87	159	1655
88	161	1652
89	163	1649
90	164	1647
91	166	1644
92	168	1642
93	171	1651
94	173	1651
95	175	1648
96	176	1645
97	178	1642
98	180	1638
99	182	1638
100	183	1634
101	185	1631
102	187	1629
103	188	1626
104	190	1619
105	191	1616
106	193	1612
107	194	1609
108	196	1605
109	198	1606
110	200	1604
111	201	1593
112	202	1591
113	204	1589
114	206	1587
115	208	1586
116	209	1583
117	211	1580
118	213	1581
119	215	1579
120	217	1579
121	219	1578
122	221	1576
123	222	1573
124	224	1571
125	226	1568
126	227	1565
127	229	1562
128	230	1559
129	232	1556
130	234	1554
131	236	1553
132	237	1550
133	239	1546
134	240	1543
135	242	1541
136	244	1539
137	245	1533
138	247	1530
139	248	1528
140	250	1524
141	251	1521
142	253	1519
143	255	1516
144	256	1514
145	258	1512
146	261	1514
147	263	1514
148	264	1512
149	266	1511
150	268	1509
151	270	1506
152	271	1504
153	273	1502
154	275	1499
155	276	1496
156	278	1494
157	280	1492
158	281	1490
159	283	1487
160	284	1484
161	286	1482
162	288	1480
163	290	1480
164	292	1480
165	294	1478
166	295	1475
167	297	1473
168	299	1472
169	301	1470
170	302	1468
171	304	1465
172	306	1463
173	307	1460
174	309	1458
175	310	1455
176	312	1453
177	314	1451
178	316	1450
179	318	1450
180	320	1450
181	323	1452
182	325	1451
183	326	1449
184	328	1447
185	330	1444
186	331	1441
187	333	1439
188	334	1437
189	336	1434
190	338	1432
191	339	1430
192	341	1428
193	343	1426
194	344	1423
195	346	1421
196	349	1424
197	351	1422
198	353	1421
199	355	1420
200	356	1418
201	358	1415
202	359	1412
203	361	1410
204	363	1407
205	364	1405
206	366	1402
207	367	1400
208	369	1398
209	370	1395
210	372	1393
211	374	1391
212	375	1388
213	377	1386
214	380	1387
215	381	1386
216	384	1387
217	387	1390
218	389	1389
219	391	1388
220	393	1386
221	394	1383
222	396	1380
223	397	1378
224	399	1376
225	401	1374
226	402	1371
227	404	1369
228	406	1367
229	409	1369
230	410	1368
231	412	1365
232	414	1363
233	415	1361
234	417	1359
235	419	1356
236	420	1354
237	422	1352
238	423	1350
239	425	1347
240	427	1345
241	428	1343
242	430	1340
243	432	1338
244	433	1336
245	435	1333
246	436	1332
247	440	1334
248	441	1332
249	443	1329
250	444	1327
251	446	1325
252	448	1323
253	449	1320
254	451	1318
