Company Name,Company Rating,Job Title,Location,Description,Salary Range,Median Salary
Optum,3.5,Senior Data Scientist,Noida,"Optum is a global organization that delivers care, aided by technology to help millions of people live healthier lives. The work you do with our team will directly improve health outcomes by connecting people with the care, pharmacy benefits, data and resources they need to feel their best. Here, you will find a culture guided by inclusion, talented peers, comprehensive benefits and career development opportunities. Come make an impact on the communities we serve as you help us advance health optimization on a global scale. Join us to start Caring. Connecting. Growing together.

At Optum AI, we leverage data and resources to make a significant impact on the healthcare system. Our solutions have the potential to improve healthcare for everyone. We work on cutting-edge projects involving ML, NLP, and LLM techniques, continuously developing and improving generative AI methods for structured and unstructured healthcare data. Our team collaborates with world-class experts and top universities to develop innovative AI/ML solutions, often leading to patents and published papers.",₹2L – ₹9L/yr (Glassdoor Est.),₹4L/yr Median
Optum,3.5,Senior Data Scientist - AIML,Gurgaon,"Optum is a global organization that delivers care, aided by technology to help millions of people live healthier lives. The work you do with our team will directly improve health outcomes by connecting people with the care, pharmacy benefits, data and resources they need to feel their best. Here, you will find a culture guided by inclusion, talented peers, comprehensive benefits and career development opportunities. Come make an impact on the communities we serve as you help us advance health optimization on a global scale. Join us to start Caring. Connecting. Growing together.
Primary Responsibilities:
Apply advanced statistical techniques, data science methodologies, and AI practices, including generative AI using GPT models
Design, develop, and implement cutting-edge generative AI models and systems",₹2L – ₹9L/yr (Glassdoor Est.),₹4L/yr Median
Optum,3.5,Director AI/ML Engineer,Bengaluru,"Optum is a global organization that delivers care, aided by technology to help millions of people live healthier lives. The work you do with our team will directly improve health outcomes by connecting people with the care, pharmacy benefits, data and resources they need to feel their best. Here, you will find a culture guided by diversity and inclusion, talented peers, comprehensive benefits and career development opportunities. Come make an impact on the communities we serve as you help us advance health equity on a global scale. Join us to start Caring. Connecting. Growing together
Optum is seeking a highly skilled Director of Software Engineering to join our dynamic team. You will work on cutting-edge Generative AI technology projects to solve complex business problems across the company. You are a strong leader with skills and a foundation in software engineering, cloud infrastructure, and cloud-native system design.
Primary Responsibilities:",₹3L – ₹7L/yr (Glassdoor Est.),₹5L/yr Median
BP Energy,3.9,Data Scientist Manager,Pune,"Entity:
Finance

Job Family Group:
Subsurface Group

Job Description:
We are a global energy business involved in every aspect of the energy system. We are working towards delivering light, heat, and mobility to millions of people every day. We are one of the very few companies equipped to solve some of the big complex challenges that matter for the future. We have a real contribution to make to the world's ambition of a low-carbon future. Join us and be part of what we can accomplish together. You can participate in our new ambition to become a net zero company by 2050 or sooner and help the world get to net zero.

Up to 10% travel should be expected with this role

This role is eligible for relocation within country

This position is a hybrid of office/remote working",₹7L – ₹9L/yr (Glassdoor Est.),₹8L/yr Median
Zelis,3.7,Data Science Engineer / Healthcare Data Analyst,Hyderābād,"About Us
Zelis is modernizing the healthcare financial experience in the United States (U.S.) by providing a connected platform that bridges the gaps and aligns interests across payers, providers, and healthcare consumers. This platform serves more than 750 payers, including the top 5 health plans, BCBS insurers, regional health plans, TPAs and self-insured employers, and millions of healthcare providers and consumers in the U.S. Zelis sees across the system to identify, optimize, and solve problems holistically with technology built by healthcare experts—driving real, measurable results for clients.
Why We Do What We Do
In the U.S., consumers, payers, and providers face significant challenges throughout the healthcare financial journey. Zelis helps streamline the process by offering solutions that improve transparency, efficiency, and communication among all parties involved. By addressing the obstacles that patients face in accessing care, navigating the intricacies of insurance claims, and the logistical challenges healthcare providers encounter with processing payments, Zelis aims to create a more seamless and effective healthcare financial system.
Data Analyst with deep experience in the US Healthcare industry with the skills around ML",₹2L – ₹7L/yr (Glassdoor Est.),₹3L/yr Median
Navodaya Education Trust,1.0,Professor CSE Artificial Intelligence & Machine Learning,Rāichūr,"Job Description: Professor
CSE (AI & ML)
Location: Raichur, Karnataka, India
About the Department:
Our cutting-edge Artificial Intelligence and Machine Learning department is dedicated to advancing the frontiers of knowledge in AI and ML through rigorous research, innovative teaching, and impactful collaborations. We foster a dynamic environment that encourages interdisciplinary approaches and addresses real-world challenges.
Position Summary:
The Department of Artificial Intelligence and Machine Learning invites applications for a Professor position, with a specific emphasis on leading and contributing significantly to the department's research and development (R&D) initiatives, alongside substantial administrative responsibilities. The successful candidate will be an internationally recognized scholar with a strong publication record, a proven ability to secure research funding, and demonstrable leadership skills in an academic setting.",₹1L – ₹2L/mo (Employer provided),₹1L/mo Median
Boston Consulting Group,4.2,Global Cybersecurity Senior Manager - AI Architect,Gurgaon,"Who We Are
Boston Consulting Group partners with leaders in business and society to tackle their most important challenges and capture their greatest opportunities. BCG was the pioneer in business strategy when it was founded in 1963. Today, we help clients with total transformation-inspiring complex change, enabling organizations to grow, building competitive advantage, and driving bottom-line impact.

To succeed, organizations must blend digital and human capabilities. Our diverse, global teams bring deep industry and functional expertise and a range of perspectives to spark change. BCG delivers solutions through leading-edge management consulting along with technology and design, corporate and digital ventures—and business purpose. We work in a uniquely collaborative model across the firm and throughout all levels of the client organization, generating results that allow our clients to thrive.",₹6L – ₹8L/yr (Glassdoor Est.),₹7L/yr Median
Kinaxis Inc.,4.1,"Senior Software Developer, Machine Learning",India,"About Kinaxis:
About Kinaxis
Elevate your career journey by embracing a new challenge with Kinaxis. We are experts in tech, but it’s really our people who give us passion to always seek ways to do things better. As such, we’re serious about your career growth and professional development, because People matter at Kinaxis.

In 1984, we started out as a team of three engineers based in Ottawa, Canada. Today, we have grown to become a global organization with over 2000 employees around the world, and support 40,000+ users in over 100 countries. As a global leader in end-to-end supply chain management, we enable supply chain excellence for all industries. We are expanding our team in Chennai and around the world as we continue to innovate and revolutionize how we support our customers.

About the team:
About the role:

Why join Kinaxis?:",N/A,N/A
Optimspace,N/A,Data Analyst Intern,Remote,"Data Analyst Intern (Remote) – Optimspace
About Optimspace:
Optimspace is a leading Information Technology company dedicated to building innovative, data-driven solutions. We are seeking a highly motivated and detail-oriented Data Analyst Intern to join our team. This internship offers the opportunity to gain real-world experience in data analysis while contributing to meaningful projects in a collaborative, remote environment.
About the Role:
As a Data Analyst Intern, you will play a key role in transforming raw data into actionable insights. You’ll support the collection, analysis, and visualization of data to help inform strategic decisions and optimize business performance. This is an ideal role for students or recent graduates looking to sharpen their analytical skills and gain exposure to practical data-driven workflows.
Key Responsibilities:
Collect, clean, and organize data from various sources for analysis.
Identify trends, patterns, and anomalies through exploratory data analysis.
Assist in the development of dashboards and reports using tools like Tableau or Power BI.
Support data quality assurance efforts by performing checks and validations.
Collaborate with teams across departments to understand data needs and requirements.
Help in building and refining data models and algorithms for specific business use cases.
Communicate findings clearly through visualizations, presentations, and written reports.
Stay current with best practices, tools, and trends in data analysis and visualization.
Qualifications:
Currently pursuing a degree in Data Science, Statistics, Computer Science, or a related field.
Strong analytical and critical thinking skills; comfortable working with large datasets.
Proficiency in data tools such as Excel, SQL, Python, or R.
Experience or familiarity with data visualization platforms (e.g., Tableau, Power BI).
Attention to detail and a strong focus on data accuracy and integrity.
Ability to work both independently and collaboratively in a remote team setting.
Strong communication skills and the ability to present complex data in a clear, concise manner.
Enthusiasm for learning and applying new tools, technologies, and methods.
Why Join Optimspace?
Gain hands-on experience with real-world data and business challenges.
Collaborate with experienced data professionals in a supportive environment.
Develop valuable technical and analytical skills in a high-growth field.
Enjoy the flexibility of a fully remote internship with growth opportunities.",N/A,N/A
Vcars auto private limited,N/A,Data Scientist Intern,Chennai,"Data Collection and Preparation:
Interns help gather data from various sources, clean and preprocess it, and prepare it for analysis.
Data Analysis: They perform statistical analysis, identify trends and patterns, and contribute to uncovering actionable insights from data.
Model Building and Evaluation: Interns may assist in building and evaluating machine learning models, under guidance, using tools like Python or R.
Data Visualization: They create visualizations to communicate findings effectively, using tools like Tableau or Power BI.
Collaboration and Communication: Interns collaborate with cross-functional teams, understand their data needs, and contribute to data-driven solutions. Documentation:",₹6L – ₹19L/yr (Employer provided),₹12L/yr Median
