Company_Rating,Salary,Skills,Seniority,Job_type,Salary_Source,Location
3.5,400000,"['Machine_Learning', 'NLP', 'AI']",Senior,Data_Scientist,Glassdoor,Noida
3.5,400000,"['Statistics', 'AI']",Senior,Data_Scientist,Glassdoor,Gurgaon
3.5,500000,['AI'],Intern,ML_Engineer,Glassdoor,Bengaluru
3.9,800000,"['Machine_Learning', 'Python', 'SQL']",Lead_Manager,Data_Scientist,Glassdoor,Pune
3.7,300000,['Machine_Learning'],Intern,ML_Engineer,Glassdoor,Hyderabad
1.0,1200000,"['R', 'Machine_Learning']",Intern,ML_Engineer,Employer,Other
4.2,700000,"['Machine_Learning', 'Python', 'SQL']",Senior,ML_Engineer,Glassdoor,Gurgaon
4.1,800000,"['Machine_Learning', 'Python', 'SQL']",Senior,ML_Engineer,Glassdoor,India
3.9,120000,"['Python', 'R', 'SQL', 'Data_Analysis', 'Statistics']",Intern,Data_Analyst,Glassdoor,Remote
3.9,1200000,"['Python', 'R', 'Data_Analysis', 'Statistics', 'Machine_Learning']",Intern,Data_Scientist,Employer,Chennai
3.9,120000,"['Python', 'R', 'SQL', 'Data_Analysis', 'Statistics', 'Machine_Learning']",Intern,Data_Scientist,Glassdoor,Remote
4.0,600000,"['Machine_Learning', 'NLP', 'AI']",Intern,Data_Scientist,Glassdoor,Chennai
3.7,700000,"['Machine_Learning', 'Python', 'SQL']",Intern,Data_Scientist,Employer,Chennai
3.9,800000,"['Python', 'SQL', 'PyTorch', 'Machine_Learning', 'NLP', 'AI', 'Cloud_Platforms']",Intern,Data_Scientist,Employer,Remote
4.7,1300000,"['Machine_Learning', 'NLP']",Intern,Data_Scientist,Employer,Remote
3.8,600000,['Statistics'],Intern,Data_Scientist,Glassdoor,Gurgaon
4.2,3328000,['Machine_Learning'],Intern,Data_Scientist,Employer,Remote
5.0,336000,['Data_Analysis'],Intern,Data_Scientist,Employer,Remote
5.0,402903,"['Machine_Learning', 'Python', 'SQL']",Intern,Data_Scientist,Glassdoor,Other
4.1,500000,"['Python', 'R', 'Statistics', 'Machine_Learning', 'NLP']",Junior_Associate,Data_Scientist,Employer,India
3.7,1000000,"['Python', 'Machine_Learning']",Junior_Associate,Data_Scientist,Glassdoor,Bengaluru
3.3,1000000,"['Machine_Learning', 'Python', 'SQL']",Intern,Data_Scientist,Glassdoor,Remote
3.9,120000,"['Python', 'R', 'TensorFlow', 'PyTorch', 'Data_Analysis', 'Machine_Learning']",Intern,ML_Engineer,Glassdoor,Remote
4.9,1200000,"['Python', 'AI', 'Cloud_Platforms']",Intern,Data_Scientist,Employer,Remote
4.8,120000,"['Machine_Learning', 'Python', 'SQL']",Intern,Data_Scientist,Glassdoor,Remote
4.2,600000,"['Python', 'Machine_Learning']",Intern,Data_Scientist,Glassdoor,Chennai
3.8,800000,"['Machine_Learning', 'Python', 'SQL']",Lead_Manager,Data_Scientist,Employer,Bengaluru
3.9,1200000,"['Machine_Learning', 'Python', 'SQL']",Intern,Data_Scientist,Employer,Other
3.9,900000,['Machine_Learning'],Intern,Data_Scientist,Employer,Remote
1.0,400000,['SQL'],Intern,Data_Scientist,Glassdoor,Other
3.5,400000,"['Machine_Learning', 'NLP', 'AI']",Intern,Data_Scientist,Glassdoor,Noida
3.8,800000,['Data_Analysis'],Intern,Data_Scientist,Glassdoor,Bengaluru
3.5,800000,"['Python', 'SQL', 'TensorFlow', 'PyTorch', 'Statistics', 'Machine_Learning']",Lead_Manager,ML_Engineer,Employer,Gurgaon
4.2,700000,"['Python', 'TensorFlow', 'PyTorch', 'Statistics', 'Machine_Learning', 'AI', 'Cloud_Platforms']",Senior,ML_Engineer,Employer,Gurgaon
3.5,500000,['Machine_Learning'],Senior,ML_Engineer,Glassdoor,Bengaluru
4.1,500000,"['Machine_Learning', 'Python', 'SQL']",Staff_Principal,ML_Engineer,Glassdoor,Bengaluru
4.1,700000,"['Machine_Learning', 'Python', 'SQL']",Intern,Data_Scientist,Glassdoor,Chennai
4.1,600000,"['Machine_Learning', 'Python', 'SQL']",Intern,Data_Scientist,Employer,Other
3.9,900000,"['Python', 'SQL', 'Data_Analysis', 'Statistics', 'Machine_Learning', 'NLP', 'AI', 'Cloud_Platforms']",Intern,Data_Scientist,Glassdoor,Pune
3.6,300000,"['Machine_Learning', 'Deep_Learning']",Intern,Data_Scientist,Glassdoor,Bengaluru
3.3,400000,"['Machine_Learning', 'NLP']",Intern,Data_Scientist,Glassdoor,Bengaluru
3.8,800000,"['Machine_Learning', 'AI']",Intern,Data_Scientist,Glassdoor,Hyderabad
3.6,300000,"['Machine_Learning', 'Cloud_Platforms']",Intern,ML_Engineer,Glassdoor,Gurgaon
4.7,1600000,['Machine_Learning'],Senior,Data_Scientist,Employer,Remote
3.4,600000,"['Machine_Learning', 'Python', 'SQL']",Intern,Data_Scientist,Glassdoor,Gurgaon
3.9,1100000,"['Data_Analysis', 'Statistics']",Intern,ML_Engineer,Employer,Bengaluru
4.2,200000,['Machine_Learning'],Senior,Data_Scientist,Glassdoor,Gurgaon
